author_id,review_count,name,role,profile_url,average_rating,rating_count,text_review_count,record_create_timestamp
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:21:31.784844
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:22:02.371325
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:22:33.317080
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:23:03.885143
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:23:34.914411
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:24:05.346810
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:24:36.283882
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:25:06.893117
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:25:37.981927
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:26:09.056567
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:26:39.781710
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:27:12.161077
